slno,text
1, a fun adventure. Perfect facilities available while there. I also enjoy stunning views. Beautiful views to shoulder the sunset. Will recommended to friend to go their when the were a holiday timr to enjoy every moment there             
2, As an extended family  we went for a two night retreat at Resorts World tourist hotel over the Christmas weekend and stayed at tourist for the first night. It was very spacious and clean.
3, Booked this hotel for the 3rd time in 4 years and it doesnt disappoint. The rooms are spacious and clean  and facilities are good. It is centrally located in tourist hotel so its very accessible. Will definitely return again.            
4, Came here for short break. The stay was quite present  hotel staff were friendly and helpful. Cooling and nice weather; the mall is renovated with lots more shops and eateries  rather convenient. A little pity that the theme park is still under construction.           
5, Check in process was quick and smooth  with friendly and welcoming Front Office personnel. We booked 2 rooms  and they were all good and clean. Excellent view from the hotel room where you will see the Awana Skyway cable cars in operation  and get excited        
6, Check-in was done within a reasonable time. Deluxe room comes with a nice mountain view. Lots of fresh air and pretty good environment for a relax vacations. Service staff were quite courteous and helpful.             
7, Decided to try this hotel out as a change to my usual preferred hotel  and was pleased with the overall stay. For those who are familiar with tourist hotel  all the hotels on top of  Highlands are interconnected.
8, Entered the spacious and clean lobby  it was very a good way to start the start. However  staffs at reception were not welcoming. Theres a cafe and convenience store at the lobby.
9, Have been going to tourist hotel once every few years and this time was quite disappointing. 
10, Hotel is decent with amenities in place. Not even a single wifi spotted in the hotel room. We had to use it in the lobby or starbucks. Pretty disappointed we were still early for the opening of the extension of tourist hotel.
11, I booked a deluxe room from Sydney for 3 nights paying $45 Australian dollars a night. When we went there - they asked us to do online check-in. We were offered a most filthy room. Room was so small with two single beds.
12, I cant imagine that this hotel does not provide any wifi in room? They only have it at the lobby.. wow.. no wifi?? Hotel Staff at the front desk service was terrible! Unfriendly and not professional at all.
13, I like this hotel very much compare to other hotels. This hotel has wider and bigger rooms than others. The staff of the hotel is very friendly and polite. This hotel is very value for money if there is a promotion available.
14, i liked the hotel ambiance and the lightings in the room. the room temperature is nice as it wasnt so cold. had a pleasant stay and good night sleep. location wise its a little far since we need to go through so many escalators to...             
15, I reserved the stay 10 days before arrival. Arrived at 5:30 pm  by that time my credit card was charged the whole stay already. I booked non smoking room  and I sent a reminder before arriving again. When checked in they gave 11 th floor.
16, I went there to have a bit quiet  but was very noisy. One side the huge blower of AC the other side the road. Was a bit dirty. The staff is unfriendly! The food in the  Cafe is just not good.
17, It was my second time in this hotel and definitely the last time. The hotel is below standards of 3 stars hotels and is disappointed to see this hotel getting same low standards as tourist Hotel. Toilet and rooms are smelly.
18, Less crowded as compare to the other hotels in tourist hotel area as it is a bit hidden away. Large king size bed  reasonable spacious   with two resting chairs  writing table  TV  fridge  coffee making facility  rain shower bath room.   
19, My friend and I had been staying at this hotel almost every month since last year. We like the hotel of the room space and the bed. Its is very comfortable. The only downside is the TV channels not so many to watch.
